dataset_authors,article_title,article_year,article_author_year,article_journal,in_vivo,experimental_mean,number_of_shoulders,type_of_movement,active,posture,thorax_is_isb,thorax_is_global,thorax_is_isb_correctable,thorax_correction_method,thorax_origin,thorax_x,thorax_y,thorax_z,humerus_is_isb,humerus_is_isb_correctable,humerus_correction_method,humerus_origin,humerus_x,humerus_y,humerus_z,thoracohumeral_sequence,thoracohumeral_angle,thoracohumeral_usable,thoracohumeral_risk,clavicle_is_isb,clavicle_is_isb_correctable,clavicle_correction_method,clavicle_origin,clavicle_x,clavicle_y,clavicle_z,scapula_is_isb,scapula_is_isb_correctable,scapula_correction_method,scapula_origin,scapula_x,scapula_y,scapula_z,humeral_motion,joint,parent,child,euler_sequence,origin_displacement,displacement_cs,displacement_absolute,displacement_correctable,displacement_correction_method,is_data_mean,shoulder_id,source_extraction,folder,dof_1st_euler,dof_2nd_euler,dof_3rd_euler,dof_translation_x,dof_translation_y,dof_translation_z,dof_translation_norm
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,1,engauged,Bourne 2003,ST_protraction_elevationFrontal_1.csv,ST_medRotation_elevationFrontal_1.csv,ST_tilt_elevationFrontal_1.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,2,engauged,Bourne 2003,ST_protraction_elevationFrontal_2.csv,ST_medRotation_elevationFrontal_2.csv,ST_tilt_elevationFrontal_2.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,3,engauged,Bourne 2003,ST_protraction_elevationFrontal_3.csv,ST_medRotation_elevationFrontal_3.csv,ST_tilt_elevationFrontal_3.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,4,engauged,Bourne 2003,ST_protraction_elevationFrontal_4.csv,ST_medRotation_elevationFrontal_4.csv,ST_tilt_elevationFrontal_4.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,5,engauged,Bourne 2003,ST_protraction_elevationFrontal_5.csv,ST_medRotation_elevationFrontal_5.csv,ST_tilt_elevationFrontal_5.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,6,engauged,Bourne 2003,ST_protraction_elevationFrontal_6.csv,ST_medRotation_elevationFrontal_6.csv,ST_tilt_elevationFrontal_6.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,7,engauged,Bourne 2003,ST_protraction_elevationFrontal_7.csv,ST_medRotation_elevationFrontal_7.csv,ST_tilt_elevationFrontal_7.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,1,engauged,Bourne 2003,ST_protraction_horizontalFlexion_1.csv,ST_medRotation_horizontalFlexion_1.csv,ST_tilt_horizontalFlexion_1.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,2,engauged,Bourne 2003,ST_protraction_horizontalFlexion_2.csv,ST_medRotation_horizontalFlexion_2.csv,ST_tilt_horizontalFlexion_2.csv,,,,
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003.0,Bourne 2003,Master thesis,True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,to_isb_like,IJ,+mediolateral,+posteroanterior,+inferosuperior,False,True,,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,,True,True,,,,,,,,False,True,to_isb,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,3,engauged,Bourne 2003,ST_protraction_horizontalFlexion_3.csv,ST_medRotation_horizontalFlexion_3.csv,ST_tilt_horizontalFlexion_3.csv,,,,
